[Bet] SAC +10.5 | Source: overrideEvent.event:401810370.bets.H1_SP.current | Current: -12 | Line: +10.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] doubleDouble_yn YES | Source: overrideEvent.event:401810370.players:6583.milestones:2DBL | Current: 1 | Line: N/A | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] firstBasket_yn YES | Source: overrideEvent.event:401810370.players:3978.milestones:FIRSTBASKET | Current: 1 | Line: N/A | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] points_ou 6+ | Source: overrideEvent.event:401810370.players:6475.milestones:PTS | Current: 6 | Line: 6+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] points+assists_ou 5+ | Source: overrideEvent.event:401810370.players:4278049.milestones:PA | Current: 10 | Line: 5+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] CBJ Moneyline AWAY | Source: overrideEvent.event:401803026.bets.moneyline | Current: N/A | Line: CBJ | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] CBJ +2.5 | Source: overrideEvent.event:401803026.bets.spread.current | Current: 3 | Line: +2.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] CBJ Regulation 3-Way Moneyline AWAY | Source: overrideEvent.event:401803026.bets.moneyline | Current: N/A | Line: CBJ | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] SJ 1st Period Moneyline HOME | Source: overrideEvent.event:401803026.bets.P1_ML | Current: N/A | Line: SJ | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] SJ 2nd Period Spread HOME | Source: overrideEvent.event:401803026.bets.P2_SP.current | Current: 0 | Line: +0.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] CBJ 1st Period Spread AWAY | Source: overrideEvent.event:401803026.bets.P1_SP.current | Current: 1 | Line: -0.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] CBJ 2+ | Source: overrideEvent.event:401803026.bets.awayPoints.current | Current: 2 | Line: 2+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] SJ 5- | Source: overrideEvent.event:401803026.bets.homePoints.current | Current: 5 | Line: 5- | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] 4+ | Source: overrideEvent.event:401803026.bets.totalPoints.current | Current: 7 | Line: 4+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] Under 2.5 | Source: overrideEvent.event:401803026.bets.P2_T.current | Current: 2 | Line: U 2.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] points_yn YES | Source: overrideEvent.event:401803026.players:4587996.milestones:GOALS | Current: 0 | Line: N/A | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] assists_ou 2+ | Source: overrideEvent.event:401803026.players:4587996.milestones:AST | Current: 0 | Line: 2+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] blocks_ou 1+ | Source: overrideEvent.event:401803026.players:4233618.milestones:BS | Current: 2 | Line: 1+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] firstToScore_yn YES | Source: overrideEvent.event:401803026.players:4587996.milestones:FIRSTGOAL | Current: 0 | Line: N/A | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] goalie_saves_ou O25.5 | Source: overrideEvent.event:401803026.players:3114994.overUnder:GSV | Current: 34 | Line: 25.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] points_ou O1.5 | Source: overrideEvent.event:401803026.players:4587996.overUnder:HGL | Current: 0 | Line: 1.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] goals+assists_ou 1+ | Source: overrideEvent.event:401803026.players:5206628.milestones:GA | Current: 1 | Line: 1+ | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] lastToScore_yn YES | Source: overrideEvent.event:401803026.players:5206628.milestones:LASTGOAL | Current: 1 | Line: N/A | GameState: post | ShowProgressBar: false
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] powerPlay_goals+assists_ou O0.5 | Source: overrideEvent.event:401803026.players:5206628.overUnder:PPP | Current: 0 | Line: 0.5 | GameState: post | ShowProgressBar: true
C:\live-sports-tracker\SportsTrackerExpo\src\screens\bet\BetBetsScreen.js:3380 [Bet] shots_onGoal_ou 1+ | Source: overrideEvent.event:401803026.players:5136617.milestones:SHT | Current: 3 | Line: 1+ | GameState: post | ShowProgressBar: true
